"instances","result","giant tour len","#Vehicles","Time (s)"
"A-50-50-6.ctp",6440,8,2,332
"A-75-75-8.ctp",5939,10,2,736
"A-50-100-4.ctp",6968,8,2,622
"A-100-100-4.ctp",7365,9,3,848
"A-100-100-5.ctp",7311,9,2,734
"A-75-75-4.ctp",7014,9,3,597
"A-25-75-4.ctp",4319,5,2,215
"A-75-75-5.ctp",6061,9,2,601
"A-50-50-8.ctp",6106,8,1,205
"A-25-75-8.ctp",4172,5,1,144
"A-50-150-8.ctp",5315,8,1,380
"A-25-75-6.ctp",4172,5,1,142
"A-100-100-6.ctp",7310,9,2,506
"A-50-150-6.ctp",5726,9,2,492
"A-50-150-5.ctp",5728,9,2,465
"A-25-75-5.ctp",4172,5,1,136
"A-50-50-4.ctp",6678,7,2,233
"A-50-50-5.ctp",6678,7,2,242
"A-50-100-6.ctp",6121,9,2,468
"A-75-75-6.ctp",5897,10,2,462
"A-100-100-8.ctp",6274,8,1,470
"A-50-100-8.ctp",6121,9,2,444
"A-50-150-4.ctp",5888,8,2,425
"A-50-100-5.ctp",6413,8,2,430
"B-50-100-8.ctp",5085,8,1,515
"B-50-150-4.ctp",7800,9,3,806
"B-75-75-6.ctp",5448,7,2,568
"B-50-50-6.ctp",6287,7,2,366
"B-25-75-6.ctp",5376,6,1,236
"B-50-100-5.ctp",5961,9,2,650
"B-50-50-5.ctp",6655,7,2,345
"B-50-150-5.ctp",7130,9,2,835
"B-50-100-6.ctp",5961,9,2,443
"B-50-150-8.ctp",6272,9,2,653
"B-100-100-5.ctp",10595,14,3,1313
"B-100-100-8.ctp",8163,14,2,1334
"B-50-50-8.ctp",5941,7,1,221
"B-25-75-5.ctp",5621,5,1,118
"B-25-75-8.ctp",5376,6,1,157
"B-75-75-8.ctp",5292,8,1,344
"B-75-75-5.ctp",5953,9,2,458
"B-50-150-6.ctp",7026,9,2,502
"B-25-75-4.ctp",6409,5,2,132
"B-50-100-4.ctp",6368,8,2,362
"B-100-100-6.ctp",9383,13,3,1279
"B-75-75-4.ctp",6724,8,2,390
"B-50-50-4.ctp",6949,7,2,235
"B-100-100-4.ctp",11974,13,4,1419
"C-25-75-5.ctp",5491,5,1,231
"C-25-75-4.ctp",5818,6,2,254
"D-50-50-4.ctp",7281,7,2,396
"C-50-50-6.ctp",4728,6,1,246
"C-25-75-8.ctp",4776,6,1,249
"C-25-75-6.ctp",4776,6,1,223
"D-25-75-6.ctp",5051,6,1,250
"D-50-50-5.ctp",6695,8,2,378
"C-50-50-8.ctp",4728,6,1,219
"C-50-50-4.ctp",5382,6,2,280
"D-50-50-6.ctp",5733,7,2,369
"D-25-75-4.ctp",5849,6,2,313
"D-25-75-5.ctp",5445,5,1,226
"D-25-75-8.ctp",5022,7,1,282
"D-50-50-8.ctp",5580,7,1,327
"C-50-50-5.ctp",4987,5,1,192
